Player,Position,Wingspan (in),Height (in),Seasons in College,G,MPG,STL,BLK,PF,STL%,BLK%,SOS,DWS,DWS/40,DBPM
Deandre Ayton,C,89,84,1,35,33.5,0.6,1.9,2.3,1.0,6.1,6.84,2.1,0.072,4.0
Jaren Jackson Jr.,PF-C,89.25,83.25,1,35,21.8,0.6,3.0,3.2,1.6,14.3,7.10,2.2,0.115,10.3
Marvin Bagley III,PF-C,84.5,83,1,33,33.8,0.8,0.9,1.8,1.4,2.6,9.71,2.1,0.075,3.0
Mohamed Bamba,C,94,84.75,1,30,30.2,0.8,3.7,2.5,1.5,13.1,10.67,2.4,0.106,8.9
Wendell Carter Jr.,C,88.5,82,1,37,26.8,0.8,2.1,2.8,1.7,7.6,9.71,2.3,0.093,7.5
Miles Bridges,SF-PF,81.5,78.75,2,62,31.6,0.6,1.1,1.7,1.2,3.6,8.80,4.0,0.082,4.1
Trae Young,PG,75,73.75,1,32,35.4,1.7,0.3,1.8,2.5,0.7,10.56,1.1,0.039,0.5
Mikal Bridges,SF,86,79,3,116,27.3,1.4,0.9,2.2,3.1,3.6,9.74,6.7,0.085,5.7
Lonnie Walker IV,SG,82.25,76.5,1,32,27.8,0.9,0.5,1.6,2.0,1.8,6.96,1.3,0.058,1.6
Collin Sexton,PG,79.25,73.5,1,33,29.9,0.8,0.1,2.5,1.6,0.3,10.64,1.2,0.049,0.0
Troy Brown Jr.,SG,82.25,78.75,1,35,31.2,1.6,0.2,2.2,2.9,0.8,4.84,1.6,0.059,2.9
Kevin Knox,SF,83.75,81,1,37,32.4,0.8,0.3,2.2,1.5,1.0,10.73,1.7,0.057,1.4
Robert Williams,PF-C,89,81,2,61,25.7,0.7,2.5,2.0,1.7,10.5,9.29,3.6,0.092,8.3
Shai Gilgeous-Alexander,PG,83.5,78,1,37,33.7,1.6,0.5,1.7,2.8,1.7,10.73,1.9,0.061,3.6
Melvin Frazier,SF,85.75,78,3,94,27.7,1.6,0.5,2.0,3.3,1.8,3.37,3.4,0.052,2.0
Zhaire Smith,SF,81.75,76,1,37,28.4,1.1,1.1,1.8,2.3,4.8,9.60,2.2,0.084,6.4
Jacob Evans,SF,81.25,77.5,3,105,29.1,1.1,0.9,2.0,2.4,3.5,4.75,6.9,0.090,4.6
Kevin Huerter,SG,79.5,79.25,2,65,31.9,0.8,0.7,2.1,1.5,2.2,8.11,3.2,0.062,2.9
Chandler Hutchison,SG,85,79,4,123,24.0,1.0,0.2,2.2,2.3,1.1,2.57,5.7,0.077,3.2
Keita Bates-Diop,SF,87.25,80.5,4,109,24.8,0.6,1.2,1.4,1.5,5.4,7.69,5.4,0.080,4.1
Khyri Thomas,SG,82.5,75.75,3,102,27.2,0.3,1.6,1.8,2.8,1.0,7.83,4.7,0.068,3.9
Josh Okogie,SG,84,76.5,2,61,33.0,1.5,0.8,2.7,2.6,2.6,7.84,3.5,0.070,2.4
De'Anthony Melton,PG,80.5,75.25,1,36,27.0,1.9,1.0,2.3,4.0,3.9,6.40,1.5,0.062,5.3
Donte DiVincenzo,PG,78,76.5,3,85,25.4,0.9,0.2,1.8,2.1,0.9,9.74,3.7,0.069,3.2
Aaron Holiday,PG,79.5,72.75,3,101,31.8,1.2,0.2,2.7,2.2,0.7,7.65,3.2,0.040,0.7
