Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Markelle Fultz,SG,81,76,1,25,35.7,1.6,1.2,2.5,2.4,3.1,6.82,0.5,0.022,1.4,14,18.1,0.9,0.3,0.4,0.076,0.8
Lonzo Ball,PG,80.5,78,1,36,35.1,1.8,0.8,1.8,2.8,2.1,6.39,2.0,0.063,3.5,52,34.2,1.7,0.8,2.5,0.067,2.5
Jayson Tatum,SF,83,80,1,29,33.3,1.3,1.1,3.0,2.3,3.2,10.91,1.8,0.075,4.1,80,30.5,1.0,0.7,4.0,0.079,1.5
Josh Jackson,SF,82,80,1,35,30.8,1.7,1.1,3.0,3.1,3.5,12.23,2.2,0.082,5.7,77,25.4,1.0,0.5,1.2,0.029,-1.2
De'Aaron Fox,PG,78,76,1,36,29.6,1.5,0.2,2.5,2.7,0.7,10.49,2.1,0.079,3.7,73,27.8,1.0,0.3,1.1,0.026,-1.5
Jonathan Isaac,PF,85.25,83,1,32,26.2,1.2,1.5,2.2,2.4,6.2,8.87,1.9,0.091,6.2,27,19.9,1.2,1.1,0.8,0.071,3.1
Lauri Markkanen,PF,83,84,1,37,30.8,0.4,0.5,2.0,0.8,1.8,7.63,1.8,0.063,1.5,68,29.7,0.6,0.6,1.6,0.038,-1.3
Dennis Smith,PG,75,74,1,32,34.8,1.9,0.4,2.1,3.1,1.2,8.09,0.9,0.032,1.0,69,29.7,1.0,0.3,1.7,0.040,-0.7
Zach Collins,C,85,82.25,1,39,17.3,0.5,1.8,2.7,1.5,9.8,4.13,2.4,0.142,7.5,66,15.8,0.3,0.5,1.3,0.060,0.9
Malik Monk,SG,78,76,1,38,32.1,0.9,0.5,1.9,1.6,1.5,10.49,1.9,0.062,1.3,63,13.6,0.3,0.1,0.5,0.028,-3.4
Luke Kennard,SG,77.25,76.5,2,75,31.2,0.9,0.3,2.1,1.7,0.8,10.75,2.5,0.043,1.0,73,20.0,0.6,0.2,1.4,0.046,-0.4
Donovan Mitchell,SG,82,73.25,2,65,26.0,1.5,0.3,2.6,3.3,1.3,9.44,3.7,0.088,4.4,79,33.4,1.5,0.3,3.8,0.069,-0.2
Bam Adebayo,C,87,82,1,38,30.1,0.7,1.5,2.6,1.2,4.9,10.49,2.3,0.080,5.3,69,19.8,0.5,0.6,1.9,0.067,1.8
Justin Jackson,SF,82.75,79,3,118,29.1,0.6,0.4,1.5,1.2,1.4,11.40,4.1,0.048,2.2,68,22.1,0.4,0.2,0.5,0.016,-1.5
D.J. Wilson,PF,87,80.75,3,69,19.4,0.4,1.0,1.4,1.2,5.6,9.23,1.9,0.057,4.3,22,3.2,0.1,0.0,0.1,0.068,-1.2
T.J. Leaf,PF,83,82,1,35,29.9,0.6,1.1,2.5,1.1,3.5,6.39,1.6,0.061,3.0,53,8.7,0.1,0.1,0.3,0.031,-2.9
John Collins,PF,83.25,80.25,2,64,20.7,0.5,1.2,2.8,1.3,6.0,10.16,1.4,0.042,1.1,74,24.1,0.6,1.1,2.0,0.054,1.9
Jarrett Allen,C,89.25,81,1,33,32.2,0.6,1.5,2.1,1.0,5.0,12.75,1.7,0.064,4.6,72,20.0,0.4,1.2,1.5,0.050,1.4
OG Anunoby,SF,86.25,78.25,2,50,17.4,1.0,0.9,1.7,3.2,5.5,7.53,1.5,0.069,5.1,74,20.0,0.7,0.2,1.6,0.052,0.4
