Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Zach Collins,C,85,82.25,1,39,17.3,0.5,1.8,2.7,1.5,9.8,4.13,2.4,0.142,7.5,66,15.8,0.3,0.5,1.3,0.060,0.9
Bam Adebayo,C,87,82,1,38,30.1,0.7,1.5,2.6,1.2,4.9,10.49,2.3,0.080,5.3,69,19.8,0.5,0.6,1.9,0.067,1.8
Jarrett Allen,C,89.25,81,1,33,32.2,0.6,1.5,2.1,1.0,5.0,12.75,1.7,0.064,4.6,72,20.0,0.4,1.2,1.5,0.050,1.4
Jakob Poeltl,C,86.75,84.25,2,70,26.9,0.5,1.7,2.4,1.1,6.5,8.10,4.0,0.085,5.6,136,15.8,0.4,0.9,3.2,0.071,2.2
Domantas Sabonis,C,82.5,82,2,74,26.6,0.5,0.6,3.0,1.2,2.2,4.67,4.8,0.098,3.5,155,22.2,0.5,0.4,4.0,0.056,0.2
Damian Jones,C,87.75,82.25,3,99,27.1,0.4,1.7,3.0,0.9,6.4,7.13,4.9,0.073,3.0,25,7.0,0.1,0.3,0.2,0.055,-1.9
Karl-Anthony Towns,C,87.5,84,1,39,21.1,0.5,2.3,2.9,1.4,11.5,8.67,2.9,0.141,10.8,246,34.9,0.7,1.4,9.1,0.051,0.8
Jahlil Okafor,C,89,83,1,38,30.1,0.8,1.4,2.1,1.5,4.5,9.87,2.2,0.077,4.1,131,23.5,0.3,1.0,2.3,0.036,-0.8
Willie Cauley-Stein,C,87,83.25,3,105,24.5,1.1,2.2,2.3,2.7,9.2,8.12,7.1,0.110,9.2,214,22.8,0.8,0.8,5.1,0.050,1.4
Myles Turner,C,88,81.75,1,34,22.2,0.3,2.6,2.4,0.8,12.3,9.07,2.1,0.111,7.3,206,27.9,0.7,1.8,8.5,0.071,2.1
Larry Nance,C,85.5,79.5,4,123,29.5,1.1,1.1,2.3,2.6,4.5,2.02,8.4,0.093,4.9,192,21.5,1.2,0.5,4.6,0.053,1.8
Kevon Looney,C,87.5,80,1,36,30.9,1.3,0.9,2.9,2.5,3.3,8.27,2.0,0.072,4.0,124,11.1,0.4,0.6,2.1,0.073,1.8
Joel Embiid,C,89,84,1,28,23.1,0.9,2.6,3.4,2.3,11.7,11.40,1.7,0.105,10.2,94,28.7,0.7,2.0,5.3,0.094,2.7
Julius Randle,C,84,79.75,1,40,30.8,0.5,0.8,2.3,1.0,2.6,9.89,2.4,0.078,3.0,238,27.8,0.6,0.5,6.0,0.044,0.4
Cody Zeller,C,82.75,82.75,2,72.0,29.0,1.2,1.2,2.5,2.5,4.4,8.09,4.2,0.080,4.7,312,22.5,0.7,0.7,10.0,0.068,2.1
Alex Len,C,87.5,85,2,60.0,24.5,0.2,2.1,2.6,0.5,8.6,5.32,6.1,0.166,5.2,335,19.9,0.4,1.0,12.4,0.089,1.2
Nerlens Noel,C,87.75,82,1,24.0,31.9,2.1,4.4,2.6,3.9,13.2,5.78,2.3,0.120,11.7,223,26.0,1.6,1.4,9.8,0.081,4.0
Steven Adams,C,88.5,82.75,1,32.0,23.4,0.7,2.0,1.6,1.9,11.2,5.63,1.9,0.101,8.8,387,25.5,0.8,1.0,12.7,0.062,1.4
Gorgui Dieng,C,87.5,81.75,3,102.0,27.3,1.0,2.6,2.7,2.2,10.6,8.78,7.8,0.112,10.5,376,24.5,0.9,1.1,9.2,0.048,2.1
Mason Plumlee,C,83,83.25,4,141.0,25.9,0.8,1.4,2.5,1.8,5.0,8.87,8.2,0.090,6.5,389,22.3,0.8,1.0,10.8,0.060,2.4
Andre Drummond,C,90.25,81.75,1,34,28.4,0.8,2.7,2.2,1.8,9.9,8.07,1.5,0.062,5.3,463,30.4,1.3,1.5,26.6,0.091,2.3
Meyers Leonard,C,87,83.75,2,65,19.8,0.3,1.1,2.2,1.0,6.5,9.55,2.2,0.068,5.1,332,15.7,0.2,0.3,4.5,0.041,-0.6
John Henson,C,89,81,3,109,23.8,0.6,2.5,1.5,1.5,10.3,9.01,6.7,0.103,8.6,391,20.4,0.5,1.5,10.0,0.060,2.2
Tyler Zeller,C,84,83.25,4,117,23.0,0.7,1.1,2.3,1.6,4.6,8.85,5.6,0.083,4.6,406,17.6,0.3,0.6,6.6,0.044,0.1
Fab Melo,C,87,84,2,63,17.3,0.4,1.8,2.3,1.4,11.7,8.40,2.1,0.077,7.8,6,6.0,0.3,0.3,0.1,0.133,1.7
Miles Plumlee,C,84.75,82.5,4,135,15.8,0.5,0.6,2.3,1.7,3.7,8.75,5.0,0.094,3.9,328,16.7,0.4,0.8,6.6,0.058,1.2
Festus Ezeli,C,89.75,83,4,121,17.9,0.3,1.7,2.6,1.2,9.2,6.64,4.1,0.076,4.2,170,14.1,0.3,1.0,3.8,0.076,1.9
Tristan Thompson,C,85.25,79.5,1,36,30.7,0.9,2.4,2.8,1.8,7.2,7.96,2.7,0.098,7.2,519,27.8,0.5,0.7,13.5,0.045,0.2
Nikola Vucevic,C,88.5,82.25,3,87,27.7,0.5,1.1,2.4,1.2,4.4,7.86,5.5,0.091,4.4,456,29.8,0.8,0.9,17.5,0.062,1.3
