Player,Position,Wingspan (in),Height (in),Seasons in College,G,MPG,STL,BLK,PF,STL%,BLK%,SOS,DWS,DWS/40,DBPM
Marvin Bagley III,PF-C,84.5,83,1,33,33.8,0.8,0.9,1.8,1.4,2.6,9.71,2.1,0.075,3
Jaren Jackson Jr.,PF-C,89.25,83.25,1,35,21.8,0.6,3,3.2,1.6,14.3,7.1,2.2,0.115,10.3
Kevin Knox,SF,83.75,81,1,37,32.4,0.8,0.3,2.2,1.5,1,10.73,1.7,0.057,1.4
Mikal Bridges,SF,86,79,3,116,27.3,1.4,0.9,2.2,3.1,3.6,9.74,6.7,0.085,5.7
Miles Bridges,SF-PF,81.5,78.75,2,62,31.6,0.6,1.1,1.7,1.2,3.6,8.8,4,0.082,4.1
Zhaire Smith,SF,81.75,76,1,37,28.4,1.1,1.1,1.8,2.3,4.8,9.6,2.2,0.084,6.4
Robert Williams,PF-C,89,81,2,61,25.7,0.7,2.5,2,1.7,10.5,9.29,3.6,0.092,8.3
Keita Bates-Diop,SF,87.25,80.5,4,109,24.8,0.6,1.2,1.4,1.5,5.4,7.69,5.4,0.08,4.1
Jacob Evans,SF,81.25,77.5,3,105,29.1,1.1,0.9,2,2.4,3.5,4.75,6.9,0.09,4.6
Melvin Frazier,SF,85.75,78,3,94,27.7,1.6,0.5,2,3.3,1.8,3.37,3.4,0.052,2
