Player,Position,Wingspan (in),Height (in),Seasons in College,G,MPG,STL,BLK,PF,STL%,BLK%,SOS,DWS,DWS/40,DBPM
Trae Young,PG,75,73.75,1,32,35.4,1.7,0.3,1.8,2.5,0.7,10.56,1.1,0.039,0.5
Collin Sexton,PG,79.25,73.5,1,33,29.9,0.8,0.1,2.5,1.6,0.3,10.64,1.2,0.049,0
Lonnie Walker IV,SG,82.25,76.5,1,32,27.8,0.9,0.5,1.6,2,1.8,6.96,1.3,0.058,1.6
SGA,PG,83.5,78,1,37,33.7,1.6,0.5,1.7,2.8,1.7,10.73,1.9,0.061,3.6
Aaron Holiday,PG,79.5,72.75,3,101,31.8,1.2,0.2,2.7,2.2,0.7,7.65,3.2,0.04,0.7
Troy Brown Jr.,SG,82.25,78.75,1,35,31.2,1.6,0.2,2.2,2.9,0.8,4.84,1.6,0.059,2.9
Kevin Huerter,SG,79.5,79.25,2,65,31.9,0.8,0.7,2.1,1.5,2.2,8.11,3.2,0.062,2.9
Chandler Hutchison,SG,85,79,4,123,24,1,0.2,2.2,2.3,1.1,2.57,5.7,0.077,3.2
Jerome Robinson,PG,79.25,77,3,90,34.6,1.3,0.3,2.5,2.1,0.8,7.65,2.9,0.037,0.2
Khyri Thomas,SG,82.5,75.75,3,102,27.2,0.3,1.6,1.8,2.8,1,7.83,4.7,0.068,3.9
Grayson Allen,SG,79.25,76.5,4,142,27.9,1,0.1,2.1,2.1,0.3,10.27,4.9,0.049,1.2
Donte DiVincenzo,PG,78,76.5,3,85,25.4,0.9,0.2,1.8,2.1,0.9,9.74,3.7,0.069,3.2
Josh Okogie,SG,84,76.5,2,61,33,1.5,0.8,2.7,2.6,2.6,7.84,3.5,0.07,2.4
De'Anthony Melton,PG,80.5,75.25,1,36,27,1.9,1,2.3,4,3.9,6.4,1.5,0.062,5.3
Jalen Brunson,PG,76,74.25,3,116,28.9,0.8,0,1.8,1.7,0,9.74,4.8,0.057,1.1
