Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Jayson Tatum,SF,83,80,1,29,33.3,1.3,1.1,3.0,2.3,3.2,10.91,1.8,0.075,4.1,80,30.5,1.0,0.7,4.0,0.079,1.5
Josh Jackson,SF,82,80,1,35,30.8,1.7,1.1,3.0,3.1,3.5,12.23,2.2,0.082,5.7,77,25.4,1.0,0.5,1.2,0.029,-1.2
Jonathan Isaac,PF,85.25,83,1,32,26.2,1.2,1.5,2.2,2.4,6.2,8.87,1.9,0.091,6.2,27,19.9,1.2,1.1,0.8,0.071,3.1
Lauri Markkanen,PF,83,84,1,37,30.8,0.4,0.5,2.0,0.8,1.8,7.63,1.8,0.063,1.5,68,29.7,0.6,0.6,1.6,0.038,-1.3
Justin Jackson,SF,82.75,79,3,118,29.1,0.6,0.4,1.5,1.2,1.4,11.40,4.1,0.048,2.2,68,22.1,0.4,0.2,0.5,0.016,-1.5
D.J. Wilson,PF,87,80.75,3,69,19.4,0.4,1.0,1.4,1.2,5.6,9.23,1.9,0.057,4.3,22,3.2,0.1,0.0,0.1,0.068,-1.2
T.J. Leaf,PF,83,82,1,35,29.9,0.6,1.1,2.5,1.1,3.5,6.39,1.6,0.061,3.0,53,8.7,0.1,0.1,0.3,0.031,-2.9
John Collins,PF,83.25,80.25,2,64,20.7,0.5,1.2,2.8,1.3,6.0,10.16,1.4,0.042,1.1,74,24.1,0.6,1.1,2.0,0.054,1.9
OG Anunoby,SF,86.25,78.25,2,50,17.4,1.0,0.9,1.7,3.2,5.5,7.53,1.5,0.069,5.1,74,20.0,0.7,0.2,1.6,0.052,0.4
Caleb Swanigan,PF,87,79.5,2,69,29.2,0.4,0.5,2.5,0.8,1.8,8.12,4.6,0.091,5.0,27,7.0,0.2,0.1,0.3,0.076,0.6
