Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Markelle Fultz,SG,81,76,1,25,35.7,1.6,1.2,2.5,2.4,3.1,6.82,0.5,0.022,1.4,14,18.1,0.9,0.3,0.4,0.076,0.8
Lonzo Ball,PG,80.5,78,1,36,35.1,1.8,0.8,1.8,2.8,2.1,6.39,2.0,0.063,3.5,52,34.2,1.7,0.8,2.5,0.067,2.5
De'Aaron Fox,PG,78,76,1,36,29.6,1.5,0.2,2.5,2.7,0.7,10.49,2.1,0.079,3.7,73,27.8,1.0,0.3,1.1,0.026,-1.5
Dennis Smith,PG,75,74,1,32,34.8,1.9,0.4,2.1,3.1,1.2,8.09,0.9,0.032,1.0,69,29.7,1.0,0.3,1.7,0.040,-0.7
Malik Monk,SG,78,76,1,38,32.1,0.9,0.5,1.9,1.6,1.5,10.49,1.9,0.062,1.3,63,13.6,0.3,0.1,0.5,0.028,-3.4
Luke Kennard,SG,77.25,76.5,2,75,31.2,0.9,0.3,2.1,1.7,0.8,10.75,2.5,0.043,1.0,73,20.0,0.6,0.2,1.4,0.046,-0.4
Donovan Mitchell,SG,82,73.25,2,65,26.0,1.5,0.3,2.6,3.3,1.3,9.44,3.7,0.088,4.4,79,33.4,1.5,0.3,3.8,0.069,-0.2
Derrick White,PG,79.5,75.25,1,34,32.8,1.2,1.4,2.1,2.2,4.9,6.00,1.4,0.050,3.2,17,8.2,0.2,0.2,0.2,0.069,0.5
Josh Hart,SG,80.25,75.75,4,146,28.0,1.1,0.3,2.2,2.4,1.2,8.51,8.5,0.083,3.7,63,23.2,0.7,0.3,1.5,0.049,0.2
Ben Simmons,PG,83.5,82,1,33,34.9,2.0,0.8,2.8,3.1,2.5,7.00,2.1,0.073,5.3,81,33.7,1.7,0.9,5.0,0.088,3.6
Jaylen Brown,SG,83.75,77.25,1,34,27.6,0.8,0.6,3.2,1.7,2.2,7.87,1.8,0.077,3.3,148,23.6,0.7,0.3,4.5,0.062,-0.1
Kris Dunn,PG,81.5,75,4,95,31.5,2.2,0.4,2.9,4.1,1.4,8.09,5.8,0.078,4.9,130,22.0,1.4,0.5,3.2,0.054,1.4
Buddy Hield,SG,81.25,75.75,4,132,31.7,1.3,0.3,2.0,2.3,0.9,9.28,6.2,0.059,1.7,162,24.1,0.8,0.2,2.8,0.034,-1.6
Jamal Murray,PG,78.5,77,1,36,35.2,1.0,0.3,2.1,1.6,0.9,8.84,1.8,0.057,1.1,163,26.6,0.8,0.3,1.9,0.021,-2.0
Denzel Valentine,SG,82.75,76,4,144,29.0,0.9,0.3,2.1,1.9,1.1,9.21,7.9,0.076,3.9,134,22.9,0.7,0.1,2.6,0.041,-0.2
Wade Baldwin,PG,82,76,2,68,29.6,1.3,0.2,2.5,2.7,0.7,7.45,3.5,0.070,2.5,40,12.1,0.5,0.2,0.6,0.060,0.3
Malik Beasley,SG,79,75.5,1,34,29.8,0.9,0.2,2.2,1.8,0.6,8.16,1.1,0.043,0.7,84,8.9,0.3,0.1,0.3,0.019,-2.6
Malachi Richardson,SG,84,76.75,1,37,34.4,1.1,0.3,2.5,2.0,0.9,9.75,1.8,0.057,1.5,48,10.9,0.3,0.0,0.2,0.018,-2.4
Dejounte Murray,PG,81.5,77,1,34,33.5,1.8,0.3,2.6,2.8,0.8,8.12,1.6,0.056,2.5,119,17.4,0.9,0.3,3.8,0.088,2.9
