Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Jonathan Isaac,PF,85.25,83,1,32,26.2,1.2,1.5,2.2,2.4,6.2,8.87,1.9,0.091,6.2,27,19.9,1.2,1.1,0.8,0.071,3.1
Lauri Markkanen,PF,83,84,1,37,30.8,0.4,0.5,2,0.8,1.8,7.63,1.8,0.063,1.5,68,29.7,0.6,0.6,1.6,0.038,-1.3
D.J. Wilson,PF,87,80.75,3,69,19.4,0.4,1,1.4,1.2,5.6,9.23,1.9,0.057,4.3,22,3.2,0.1,0,0.1,0.068,-1.2
T.J. Leaf,PF,83,82,1,35,29.9,0.6,1.1,2.5,1.1,3.5,6.39,1.6,0.061,3,53,8.7,0.1,0.1,0.3,0.031,-2.9
John Collins,PF,83.25,80.25,2,64,20.7,0.5,1.2,2.8,1.3,6,10.16,1.4,0.042,1.1,74,24.1,0.6,1.1,2,0.054,1.9
Caleb Swanigan,PF,87,79.5,2,69,29.2,0.4,0.5,2.5,0.8,1.8,8.12,4.6,0.091,5,27,7,0.2,0.1,0.3,0.076,0.6
Kyle Kuzma,PF,84.25,80,3,96,21,0.3,0.4,1.6,0.9,1.8,6.84,3.5,0.069,1.8,77,31.2,0.6,0.4,2.3,0.046,-1
Marquese Chriss,PF,84.25,80.75,1,34,24.9,0.9,1.6,4.1,1.9,5.8,8.12,1.2,0.057,3.1,154,21.2,0.8,0.9,3,0.044,0.6
Henry Ellenson,PF,86.25,82,1,33,33.5,0.8,1.5,2.5,1.4,4.4,5.57,2,0.072,2.7,57,8.3,0.1,0,0.5,0.051,-2.5
Brice Johnson,PF,84.5,81,4,148,21,0.8,1.1,2.5,2,5.5,9.72,6.8,0.088,5.1,21,5.1,0.5,0.3,0.3,0.134,2.9
Pascal Siakam,PF,87.25,80.25,2,68,32.7,0.9,2,2.6,1.7,6.2,-3.6,5.8,0.104,4.2,136,18.7,0.6,0.6,3.7,0.07,2.1
Skal Labissiere,PF,86.5,82.5,1,36,15.8,0.3,1.6,3,0.9,10.3,8.84,1.1,0.077,5.6,93,19.9,0.4,0.7,1.5,0.039,-0.2
Frank Kaminsky,PF,83,83.75,4,144,20.4,0.5,1.1,1.6,1.7,5.2,9.61,6.3,0.086,5.4,235,23.4,0.5,0.4,5.3,0.046,-0.6
Justise Winslow,PF,82.25,76.5,1,39,29.1,1.3,0.9,2.8,2.8,2.9,9.87,2.5,0.088,5.3,164,27.7,0.9,0.4,5.8,0.061,1.6
Trey Lyles,PF,85.5,81,1,36,23,0.5,0.4,1.6,1.4,2.1,8.67,2.3,0.111,5.1,224,17.5,0.4,0.3,4.5,0.055,-0.6
Sam Dekker,PF,83.5,79.75,3,113,27.9,0.6,0.5,1.2,1.5,1.7,10.07,5.3,0.067,2.6,153,15.1,0.4,0.2,1.8,0.037,-0.7
Bobby Portis,PF,86,81.5,2,70,28.5,1.1,1.5,2,2.1,5.3,6.18,3.8,0.076,4,199,18.8,0.5,0.3,4,0.051,-0.9
Jarell Martin,PF,81,80,2,65,30.7,1,0.7,2.6,1.9,2.1,6.12,3.5,0.07,1.9,142,18.3,0.5,0.5,2.3,0.042,-0.4
Chris McCullough,PF,87.25,80.25,1,16,28.1,1.7,2.1,2.6,3.6,8.5,7.68,1.2,0.107,8.2,59,9,0.5,0.3,0.6,0.054,0.1
Jabari Parker,PF,84,80,1,35,30.7,1.1,1.2,2.4,2.1,4,8.48,1.9,0.071,2.3,183,30.7,1,0.4,4.3,0.037,-1.2
Aaron Gordon,PF,83.75,79.5,1,38,31.2,0.9,1,2.4,1.8,3.4,9.04,3.3,0.111,6.7,263,26.1,0.8,0.6,6.6,0.046,0.2
Noah Vonleh,PF,88.25,80,1,30,26.5,0.9,1.4,2.7,1.9,5.4,6.64,2,0.101,4.9,231,15.5,0.3,0.3,3.9,0.052,-0.1
Adreian Payne,PF,88,81,4,138,20,0.6,1,2.2,1.7,5.8,10.35,6.2,0.09,4.5,107,13.1,0.4,0.3,0.8,0.027,-0.8
Mitch McGary,PF,84,82,2,47,20.6,1.2,0.7,2.5,3.7,3.7,9.85,2.2,0.091,5.8,52,10.7,0.3,0.3,0.8,0.069,-0.3
Josh Huestis,PF,85,79,4,135,25,0.5,1.4,1.7,1.2,5.9,6.38,6,0.071,5,76,14.1,0.2,0.6,1.1,0.049,0.6
Anthony Bennett,PF,85,79,1,35,27.1,0.7,1.2,2.3,1.5,4.6,5.71,2.2,0.093,3.2,151,12.6,0.4,0.2,1.4,0.035,-1.6
Kelly Olynyk,PF,81.75,82.75,3,101,17.2,0.5,0.5,2,1.8,3.1,4,3.6,0.083,3.7,354,21.3,0.7,0.5,10,0.064,0.8
Anthony Davis,PF,89.5,81.25,1,40,32,1.4,4.7,2,2.5,13.7,7.93,4.1,0.128,10.8,410,34.8,1.3,2.4,22.5,0.076,2.2
Thomas Robinson,PF,85,81,3,105,18.7,0.6,0.7,2.1,1.9,3.9,8.6,5.5,0.112,4.7,313,13.4,0.5,0.4,5.2,0.06,0.4
Harrison Barnes,PF,83.25,79,2,75,29.3,0.9,0.4,1.9,1.7,1.3,8.61,3.8,0.069,2.1,463,30.4,0.7,0.2,13.5,0.046,-0.4
Royce White,PF,84,80,1,34,31.5,1.2,0.9,2.6,2.2,3,7.32,2,0.075,5.7,3,3,0,0,0,0,-1.3
Terrence Jones,PF,86,81,2,76,30.4,1.2,1.8,2.4,2.4,5.9,8.42,5.5,0.095,5.4,232,24,0.6,1.2,6.9,0.059,1
Andrew Nicholson,PF,88,81,4,123,29.9,0.5,2,3,0.9,6,1.35,5.9,0.064,1.4,285,14.3,0.3,0.3,3.3,0.039,-1.8
Jared Sullinger,PF,85.5,81,2,74,31,1.1,0.8,2.7,2.1,3,8.73,5.9,0.103,4.4,269,24.3,0.7,0.6,9.2,0.068,0.8
Arnett Moultrie,PF,86.25,83,3,100,30.2,1,0.9,2.4,2,2.6,3.34,6.5,0.086,0.9,59,12.4,0.4,0.2,0.7,0.046,-0.8
Derrick Williams,PF,85.5,81,2,69,29.2,0.8,0.7,2.7,1.6,2.3,8.04,3,0.06,2.6,428,20.7,0.5,0.3,6.8,0.037,-1.6
Markieff Morris,PF,82.75,79.75,3,109,19.3,0.6,0.9,2.7,1.7,4.8,7.92,5.5,0.105,5.6,521,26.4,0.9,0.6,14.8,0.052,0.5
Marcus Morris,PF,82,79,3,109,24,0.9,0.4,2.6,1.9,1.8,7.92,5.8,0.089,3.4,470,26.3,0.7,0.2,12.1,0.047,-0.3
Tobias Harris,PF,83,78.5,1,34,29.2,0.7,0.9,2.1,1.4,3.4,8.73,1.5,0.06,2.3,464,29.6,0.8,0.5,13,0.045,-0.4
Kenneth Faried,PF,84,78,4,136,29.1,1.7,1.8,3.1,3.3,8.5,-4.03,12.4,0.125,5.9,441,24.9,0.8,0.8,12.5,0.055,0.7
JaJuan Johnson,PF,86,82,4,140,27.5,0.7,1.9,1.8,1.6,6.7,7.64,11.5,0.119,4.9,36,8.3,0.1,0.4,0.5,0.08,-0.4
