Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Jayson Tatum,SF,83,80,1,29,33.3,1.3,1.1,3,2.3,3.2,10.91,1.8,0.075,4.1,80,30.5,1,0.7,4,0.079,1.5
Josh Jackson,SF,82,80,1,35,30.8,1.7,1.1,3,3.1,3.5,12.23,2.2,0.082,5.7,77,25.4,1,0.5,1.2,0.029,-1.2
Justin Jackson,SF,82.75,79,3,118,29.1,0.6,0.4,1.5,1.2,1.4,11.4,4.1,0.048,2.2,68,22.1,0.4,0.2,0.5,0.016,-1.5
OG Anunoby,SF,86.25,78.25,2,50,17.4,1,0.9,1.7,3.2,5.5,7.53,1.5,0.069,5.1,74,20,0.7,0.2,1.6,0.052,0.4
Brandon Ingram,SF,87,81,1,36,34.6,1.1,1.4,2.1,1.9,3.6,10.59,1.5,0.048,2.9,138,30.8,0.7,0.6,2.5,0.028,-0.2
Taurean Prince,SF,83.5,78.5,4,129,20.2,0.9,0.5,2.1,2.9,2.7,9.08,4.5,0.069,2.9,141,24.4,0.9,0.5,3.5,0.049,0.4
Caris LeVert,SF,82,77.75,4,103,26.4,0.9,0.2,1.5,2.3,0.9,9.3,3.7,0.054,2.6,128,24.2,1,0.2,2.5,0.039,-0.3
DeAndre' Bembry,SF,80,78,3,101,36.1,1.4,0.8,2.5,2.4,2.4,4.2,6.3,0.069,3.1,64,12.9,0.5,0.3,0.9,0.052,0.9
Stanley Johnson,SF,83.5,77,1,38,28.4,1.5,0.4,2.6,3.2,1.6,7.41,2.9,0.107,5.4,219,22.6,0.9,0.2,6.1,0.059,1.1
Kelly Oubre,SF,86.25,77.75,1,36,21,1.1,0.4,2,3.3,1.8,12.13,1.7,0.09,3.7,223,20.2,0.7,0.3,4.5,0.048,-0.6
Justin Anderson,SF,83.75,77.25,3,98,24.1,0.6,0.9,1.4,1.7,4.3,6.64,5.5,0.093,5.1,168,14.3,0.4,0.3,2.8,0.056,-0.1
Rondae Hollis-Jefferson,SF,86,77.5,2,76,27,0.9,0.9,2.4,2.1,3.8,8.23,5.5,0.107,6.9,175,24.5,1.1,0.6,4.9,0.055,1.6
Andrew Wiggins,SF,84,80,1,35,32.8,1.2,1,2.7,2.1,3.1,11.4,1.7,0.059,3,327,36.2,1,0.5,3.1,0.013,-2.1
Doug McDermott,SF,81.25,78.25,4,145,31.5,0.2,0.1,1.8,0.5,0.3,4.29,5.2,0.046,-1.5,264,20.7,0.2,0.1,2.5,0.022,-2.3
T.J. Warren,SF,82.25,79,2,70,31.2,1.5,0.5,2.5,2.9,1.7,7.31,2.5,0.046,0.7,218,26.9,0.9,0.5,2.9,0.024,-1.2
P.J. Hairston,SF-SG,81.5,77,2,71,18.1,0.8,0.3,1.7,2.5,1.5,7.54,2,0.062,1.4,111,18,0.5,0.2,1.9,0.046,-1.4
Kyle Anderson,SF,86.75,79.5,2,71,31.6,1.8,0.8,1.9,3.2,2.8,7.72,4.8,0.086,6.3,257,17.9,0.9,0.5,9.2,0.096,3.9
Otto Porter,SF,85.5,79.5,2,64,32.5,1.5,0.9,2,2.9,3.1,7.64,5.3,0.102,5.6,343,26.4,1.1,0.4,10.8,0.057,0.9
Shabazz Muhammad,SF-SG,83,76.75,1,32,30.8,0.7,0.1,1.7,1.3,0.4,7.82,0.8,0.032,2.7,278,17.2,0.3,0.1,0.7,0.007,-4
Solomon Hill,SF,81.5,79,4,139,29,0.9,0.4,2.4,1.9,1.3,7.05,6,0.06,3.6,261,23.1,0.7,0.2,6.8,0.054,1.1
Reggie Bullock,SF,80.75,77.75,3,100,24.6,0.9,0.2,1.2,2,0.8,8.41,4,0.065,3,209,16.1,0.4,0.1,3,0.043,-0.5
Michael Kidd-Gilchrist,SF,84,77.75,1,40,31.1,1,0.9,2.4,1.9,2.8,7.93,2.6,0.084,4.1,357,26.7,0.7,0.7,10.3,0.052,1.1
Maurice Harkless,SF,84,79.25,1,32,36.1,1.6,1.4,2.3,2.6,4.2,6.98,1.3,0.045,2,415,23,1,0.6,9.2,0.046,0.9
Perry Jones,PF-SF,85.75,83,2,63,32.2,0.7,0.7,2.3,1.3,2.6,6.41,3.2,0.063,2,143,11.7,0.3,0.2,1.7,0.049,-1
Kawhi Leonard,SF,87,78,2,70,31.9,1.4,0.6,2.5,2.7,2.2,5.29,5.7,0.102,5.2,407,30.4,1.8,0.7,24.7,0.096,2.7
Chris Singleton,SF-PF,85,81,3,95,29.1,1.9,1.4,3.1,4.1,5.1,7.05,7.5,0.109,6.9,148,17.6,0.8,0.4,3.3,0.061,1.3
Jordan Hamilton,SF,81.5,80,2,70,26.2,0.8,0.5,1.5,1.8,1.8,7.67,3.9,0.085,3.3,151,13.9,0.5,0.2,2,0.046,-0.8
